song | our bpm | bpm-tool's bpm
01._Bennett_-_Vois_sur_ton_chemin_(Techno_Mix)_cut.wav | 145 | 139.562
02._Udo_Lindenberg_-_Komet_cut.wav | 145 | 145.685
03._Lana_Del_Rey_-_Blue_Skies_(From_The_New_Look_Soundtrack)_cut.wav | 144 | 95.981
04._cassö_-_Prada_cut.wav | 147 | 138.229
05._Miley_Cyrus_-_Flowers_cut.wav | 147 | 118.567
06._Beyoncé_-_16_CARRIAGES_cut.wav | 144 | 125.315
07._Kenya_Grace_-_Strangers_cut.wav | 113 | 113.964
08._Paula_Hartmann_-_DLIT_(die_Liebe_ist_tot)_cut.wav | 147 | 132.878
09._Peter_Fox_-_Zukunft_Pink_(feat._Inéz)_cut.wav | 138 | 118.014
100._Amaru_-_Blonde_Chaya_(Sped_Up)_cut.wav | 86 | 85.453
10._Dua_Lipa_-_Houdini_cut.wav | 117 | 116.992
11._Pearl_Jam_-_Dark_Matter_cut.wav | 133 | 100.207
12._Tate_McRae_-_greedy_cut.wav | 146 | 111.028
13._Octavian_-_Mädchen_auf_dem_Pferd_cut.wav | 132 | 135.728
14._Dua_Lipa_-_Training_Season_cut.wav | 123 | 123.032
15._Taylor_Swift_-_Anti-Hero_cut.wav | 129 | 96.668
16._Ariana_Grande_-_yes,_and_cut.wav | 119 | 118.984
17._Taylor_Swift_-_Cruel_Summer_cut.wav | 113 | 85.023
18._Sira_-_9_bis_9_cut.wav | 147 | 128.089
19._Calvin_Harris_-_Lovers_In_A_Past_Life_cut.wav | 138 | 130.314
20._Jack_Harlow_-_Lovin_On_Me_cut.wav | 148 | 104.931
21._Cyril_-_Stumblin'_In_cut.wav | 126 | 126.017
22._Ofenbach_-_Overdrive_(feat._Norma_Jean_Martine)_cut.wav | 148 | 126.174
23._Nina_Chuba_-_Wildberry_Lillet_cut.wav | 139 | 140.530
24._Wanda_-_Therapie_cut.wav | 107 | 106.981
25._Doja_Cat_-_Paint_The_Town_Red_cut.wav | 117 | 99.960
26._Purple_Disco_Machine_-_Substitution_(feat._Julian_Perretta)_cut.wav | 124 | 124.011
27._Benson_Boone_-_Beautiful_Things_cut.wav | 144 | 125.083
28._Tom_Odell_-_Another_Love_cut.wav | 126 | 84.561
29._David_Guetta_-_I'm_Good_(Blue)_cut.wav | 147 | 128.008
30._Billie_Eilish_-_What_Was_I_Made_For_[From_The_Motion_Picture_Barbie]_cut.wav | 120 | 144.438
31._Boris_Blank_-_Resonance_cut.wav | 146 | 146.000
